H p1n0e1
He p2n2e2
Li p3n4e3
Be p4n5e4
B p5n6e5
C p6n6e6
N p7n7e7
O p8n8e8
F p9n10e9
Ne p10n10e10
Na p11n12e11
Mg p12n12e12
Al p13n14e13
Si p14n14e14
P p15n16e15
S p16n16e16
Cl p17n18e17
Ar p18n22e18
K p19n20e19
Ca p20n20e20
Sc p21n24e21
Ti p22n26e22
V p23n28e23
Cr p24n28e24
Mn p25n30e25
Fe p26n30e26
Co p27n32e27
Ni p28n31e28
Cu p29n35e29
Zn p30n35e30
Ga p31n39e31
Ge p32n41e32
As p33n42e33
Se p34n45e34
Br p35n45e35
Kr p36n48e36
Rb p37n48e37
Sr p38n50e38
Y p39n50e39
Zr p40n51e40
Nb p41n52e41
Mo p42n54e42
Tc p43n55e43
Ru p44n57e44
Rh p45n58e45
Pd p46n60e46
Ag p47n61e47
Cd p48n64e48
In p49n66e49
Sn p50n64e50
Sb p51n60e51
Te p52n64e52
I p53n74e53
Xe p54n77e54
Cs p55n78e55
Ba p56n81e56
La p57n82e57
Ce p58n82e58
Pr p59n82e59
Nd p60n84e60
Pm p61n84e61
Sm p62n88e62
Eu p63n89e63
Gd p64n94e64
Tb p65n94e65
Dy p66n93e66
Ho p67n97e67
Er p68n99e68
Tm p69n101e69
Yb p70n103e70
Lu p71n104e71
Hf p72n106e72
Ta p73n108e73
W p74n110e74
Re p75n111e75
Os p76n114e76
Ir p77n115e77
Pt p78n117e78
Au p79n118e79
Hg p80n121e80
Tl p81n123e81
Pb p82n125e82
Bi p83n126e83
Po p84n125e84
At p85n125e85
Rn p86n136e86
Fr p87n136e87
Ra p88n138e88
Ac p89n138e89
Th p90n142e90
Pa p91n140e91
U p92n146e92
Np p93n144e93
Pu p94n150e94
Am p95n148e95
Cm p96n151e96
Bk p97n152e97
Cf p98n157e98
Es p99n157e99
Fm p100n157e100
Md p101n158e101
No p102n159e102
Lr p103n160e103
Rf p104n157e104
Db p105n162e105
Sg p106n163e106
Bh p107n160e107
Hs p108n162e108
Mt p109n165e109
Ds p110n170e110
Rg p111n169e111
Cn p112n174e112
Uut p113n174e113
Uuq p114n175e114
Uup p115n175e115
Uuh p116n176e116
Uus p117n177e117
Uuo p118n176e118
